sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
410010185,SOPA INST. CARNE TRAVERSO 12x65 POTE,SOPAS,500067,210,22.22,20.37,64.21,429.9,24,3
430010185,SOPA INST. POLLO TRAVERSO 12x65 POTE,SOPAS,499018,207,37.62,12.48,76.01,807.7,24,3
260010105,MOSTAZA TRAVERSO 10x1000 BOLSA,SALSAS,367581,210,14.21,4.92,50.95,242.7,24,3
121010290,JUGO LIMON TRAVERSO 30x500 PET,JUGO DE LIMON,326311,210,32.78,20.58,56.6,453.4,24,3
250010105,KETCHUP TRAVERSO 10x1000 BOLSA,SALSAS,291734,210,13.15,7.78,40.25,212.3,24,3
260010115,MOSTAZA TRAVERSO 12x1000 DOYPACK,SALSAS,208927,210,30.98,9.5,81.12,292.1,24,3
121010175,JUGO LIMON TRAVERSO 12x500 PET,JUGO DE LIMON,201923,210,41.32,26.08,375.88,294.9,24,3
121010320,JUGO LIMON TRAVERSO 4x5000 PET,JUGO DE LIMON,191772,210,28.99,11.31,167.1,201.8,24,3
210010495,AJI CREMA TRAVERSO 300x8 SACHET,SALSAS,190239,209,38.3,15.53,60.22,221.9,24,3
250010115,KETCHUP TRAVERSO 12x1000 DOYPACK,SALSAS,184746,210,27.88,14.8,41.55,215.4,24,3
111010290,VINAGRE BLANCO TRAVERSO 30x500 PET,VINAGRES,183315,210,44.59,44.51,82.18,247.0,24,3
121010210,JUGO LIMON TRAVERSO 20x1000 PET,JUGO DE LIMON,182880,210,25.72,14.62,57.91,149.6,24,3
113010290,VINAGRE MANZANA TRAVERSO 30x500 PET,VINAGRES,180625,210,26.43,13.22,29.16,206.6,24,3
112010290,VINAGRE ROSADO TRAVERSO 30x500 PET,VINAGRES,165830,210,24.74,13.14,35.72,168.4,24,3
210010105,AJI CREMA TRAVERSO 10x1000 BOLSA,SALSAS,148387,210,25.58,17.75,81.21,212.9,24,3
500170200,SALSA SOYA BALDE KIKKOMAN 1x18900 BALDE,KIKKOMAN,143777,191,98.13,35.44,495.66,602.1,24,3
440010185,SOPA INST. VEGETALES TRAVERSO 12x65 POTE,SOPAS,128148,210,70.98,51.98,317.79,322.0,24,3
114010290,VINAGRE INCOLORO TRAVERSO 30x500 PET,VINAGRES,120021,210,33.0,26.75,43.98,282.3,24,3
260010495,MOSTAZA TRAVERSO 300x8 SACHET,SALSAS,119950,210,59.78,57.93,63.34,413.9,24,3
121010115,JUGO LIMON TRAVERSO 12x1000 PET,JUGO DE LIMON,117571,210,55.66,51.41,148.54,272.3,24,3
420010185,SOPA INST. CAMARON TRAVERSO 12x65 POTE,SOPAS,116226,207,108.86,101.57,377.75,332.4,24,3
111010320,VINAGRE BLANCO TRAVERSO 4x5000 PET,VINAGRES,114430,210,37.38,10.46,107.26,194.9,24,3
260010265,MOSTAZA TRAVERSO 24x350 PET,SALSAS,108575,210,52.37,49.13,55.67,226.9,24,3
260010175,MOSTAZA TRAVERSO 12x500 DOYPACK,SALSAS,106393,210,23.45,6.67,79.26,96.9,24,3
111010175,VINAGRE BLANCO TRAVERSO 12x500 PET,VINAGRES,104291,209,36.26,21.32,41.53,191.6,24,3
250010495,KETCHUP TRAVERSO 300x8 SACHET,SALSAS,103926,209,52.72,48.51,73.07,384.8,24,3
111010210,VINAGRE BLANCO TRAVERSO 20x1000 PET,VINAGRES,98961,210,31.41,19.28,70.99,99.8,24,3
270010495,MAYONESA TRAVERSO 300x8 SACHET,MAYONESA,90856,122,50.54,44.64,186.15,445.1,24,3
261010110,MOSTAZA SUAVE VINTAGE TRAVERSO 10x450 PET,SALSAS,84567,210,45.73,20.59,594.77,167.9,24,3
250010175,KETCHUP TRAVERSO 12x500 DOYPACK,SALSAS,77953,210,19.02,10.26,63.61,57.5,24,3
