sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
115014175,ACETO BALSAMICO IMPERATORE 12x500 VIDRIO,VINAGRES,32055,202,31.07,21.45,784.51,51.6,24,3
130810195,JUGO NARANJA TRAVERSO 12x900 PET,JUGOS CONCENTRADOS,31911,209,117.11,85.08,200.27,84.5,24,3
130910320,JUGO PIÑA TRAVERSO 4x5000 PET,JUGOS CONCENTRADOS,31729,210,39.13,14.75,228.84,37.6,24,3
111010255,VINAGRE BLANCO TRAVERSO 24x250 PET,VINAGRES,31450,209,42.62,39.07,52.26,54.0,24,3
113033290,VINAGRE MANZANA CUISINE &CO 30x500 PET,VINAGRES,31068,190,58.14,49.5,60.16,92.1,24,3
250033115,KETCHUP CUISINE &CO 12x1000 DOYPACK,SALSAS,29181,168,74.43,71.6,62.05,74.0,24,3
260010240,MOSTAZA TRAVERSO 24x240 PET,SALSAS,28993,210,27.23,15.07,69.21,37.6,24,3
114010600,VINAGRE INCOLORO TRAVERSO 4x3000 PET,VINAGRES,28988,84,78.73,76.94,80.17,505.6,24,3
121033290,JUGO LIMON CUISINE &CO 30x500 PET,JUGO DE LIMON,28625,189,65.16,55.04,137.45,94.6,24,3
221010110,AJI PEBRE VINTAGE TRAVERSO 10x450 PET,SALSAS,28480,210,31.88,26.52,40.17,32.3,24,3
121013320,JUGO LIMON HIGUERAS 4x5000 PET,JUGO DE LIMON,28346,209,60.24,49.19,176.23,136.2,24,3
440010585,FIDEOS INST. SACHET SABOR VERDURAS 24X85 SACH,SOPAS,28302,123,100.0,100.0,100.0,236.8,24,3
115014150,ACETO BALSAMICO REAL IMPERATORE 12x250 VIDRIO,VINAGRES,28183,209,63.61,35.57,965.71,72.9,24,3
260010255,MOSTAZA TRAVERSO 24x250 DOYPACK,SALSAS,27746,210,34.53,16.03,115.12,35.4,24,3
113110175,VINAGRE DE MANZANA SIN FILTRAR TRAVERSO 12x50,VINAGRES,27452,165,41.94,25.07,85.23,72.9,24,3
250033175,KETCHUP CUISINE &CO 12x500 DOYPACK,SALSAS,26753,151,68.84,56.38,64.26,68.8,24,3
121012320,JUGO LIMON FRESCOLIM 4x5000 PET,JUGO DE LIMON,26558,208,144.58,144.58,438.82,98.7,24,3
210010250,AJI CREMA TRAVERSO 24x240 PET,SALSAS,26135,208,28.32,16.79,192.45,34.1,24,3
121010300,JUGO LIMON TRAVERSO 48x250 PET,JUGO DE LIMON,25783,209,38.61,7.93,102.79,17.1,24,3
130810320,JUGO NARANJA TRAVERSO 4x5000 PET,JUGOS CONCENTRADOS,25599,210,34.15,24.29,91.38,33.5,24,3
