sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
410010185,SOPA INST. CARNE TRAVERSO 12x65 POTE,SOPAS,500067,210,22.45,10.44,58.85,434.4,24,3
430010185,SOPA INST. POLLO TRAVERSO 12x65 POTE,SOPAS,499018,207,38.93,27.12,52.43,835.8,24,3
260010105,MOSTAZA TRAVERSO 10x1000 BOLSA,SALSAS,367581,210,14.42,7.43,50.85,246.3,24,3
121010290,JUGO LIMON TRAVERSO 30x500 PET,JUGO DE LIMON,326311,210,37.38,28.81,66.57,517.1,24,3
250010105,KETCHUP TRAVERSO 10x1000 BOLSA,SALSAS,291734,210,13.23,5.54,41.14,213.6,24,3
260010115,MOSTAZA TRAVERSO 12x1000 DOYPACK,SALSAS,208927,210,30.77,9.4,85.51,290.1,24,3
121010175,JUGO LIMON TRAVERSO 12x500 PET,JUGO DE LIMON,201923,210,48.62,37.93,410.44,347.1,24,3
121010320,JUGO LIMON TRAVERSO 4x5000 PET,JUGO DE LIMON,191772,210,31.32,25.25,191.36,218.0,24,3
210010495,AJI CREMA TRAVERSO 300x8 SACHET,SALSAS,190239,209,39.21,9.99,57.01,227.1,24,3
250010115,KETCHUP TRAVERSO 12x1000 DOYPACK,SALSAS,184746,210,26.96,12.22,42.08,208.3,24,3
111010290,VINAGRE BLANCO TRAVERSO 30x500 PET,VINAGRES,183315,210,53.09,53.09,96.22,294.1,24,3
121010210,JUGO LIMON TRAVERSO 20x1000 PET,JUGO DE LIMON,182880,210,26.06,15.2,57.36,151.6,24,3
113010290,VINAGRE MANZANA TRAVERSO 30x500 PET,VINAGRES,180625,210,26.83,17.85,31.75,209.7,24,3
112010290,VINAGRE ROSADO TRAVERSO 30x500 PET,VINAGRES,165830,210,27.62,19.75,40.98,187.9,24,3
210010105,AJI CREMA TRAVERSO 10x1000 BOLSA,SALSAS,148387,210,25.36,15.62,81.59,211.0,24,3
500170200,SALSA SOYA BALDE KIKKOMAN 1x18900 BALDE,KIKKOMAN,143777,191,91.43,50.19,353.37,561.0,24,3
440010185,SOPA INST. VEGETALES TRAVERSO 12x65 POTE,SOPAS,128148,210,77.97,63.29,361.78,353.7,24,3
114010290,VINAGRE INCOLORO TRAVERSO 30x500 PET,VINAGRES,120021,210,31.17,23.38,40.5,266.6,24,3
260010495,MOSTAZA TRAVERSO 300x8 SACHET,SALSAS,119950,210,30.05,11.17,57.4,208.1,24,3
121010115,JUGO LIMON TRAVERSO 12x1000 PET,JUGO DE LIMON,117571,210,56.22,52.56,142.05,275.1,24,3
420010185,SOPA INST. CAMARON TRAVERSO 12x65 POTE,SOPAS,116226,207,149.81,138.67,451.69,457.5,24,3
111010320,VINAGRE BLANCO TRAVERSO 4x5000 PET,VINAGRES,114430,210,37.45,10.47,107.48,195.3,24,3
260010265,MOSTAZA TRAVERSO 24x350 PET,SALSAS,108575,210,47.37,40.94,57.83,205.3,24,3
260010175,MOSTAZA TRAVERSO 12x500 DOYPACK,SALSAS,106393,210,30.74,16.45,88.83,127.0,24,3
111010175,VINAGRE BLANCO TRAVERSO 12x500 PET,VINAGRES,104291,209,42.8,26.9,53.81,226.1,24,3
250010495,KETCHUP TRAVERSO 300x8 SACHET,SALSAS,103926,209,49.03,18.31,102.1,357.9,24,3
111010210,VINAGRE BLANCO TRAVERSO 20x1000 PET,VINAGRES,98961,210,30.24,13.14,63.69,96.1,24,3
270010495,MAYONESA TRAVERSO 300x8 SACHET,MAYONESA,90856,122,103.89,87.26,630.07,914.8,24,3
261010110,MOSTAZA SUAVE VINTAGE TRAVERSO 10x450 PET,SALSAS,84567,210,49.28,25.47,601.94,181.0,24,3
250010175,KETCHUP TRAVERSO 12x500 DOYPACK,SALSAS,77953,210,19.81,8.17,66.39,59.9,24,3
112010210,VINAGRE ROSADO TRAVERSO 20x1000 PET,VINAGRES,77291,210,25.23,16.5,47.37,82.4,24,3
112010175,VINAGRE ROSADO TRAVERSO 12x500 PET,VINAGRES,76266,209,61.92,34.24,87.51,217.5,24,3
350010325,PICKLES TRAVERSO 6x1000 BOLSA,ENCURTIDOS,76039,210,22.6,18.91,70.64,82.1,24,3
330010325,CHUCRUT TRAVERSO 6x1000 BOLSA,ENCURTIDOS,71025,210,42.91,12.31,235.39,149.2,24,3
330010235,CHUCRUT TRAVERSO 24x200 BOTTOMBAG,ENCURTIDOS,70457,210,26.73,8.05,57.11,96.8,24,3
112010320,VINAGRE ROSADO TRAVERSO 4x5000 PET,VINAGRES,69483,210,27.29,9.54,137.81,94.5,24,3
122010290,JUGO LIMON PICA TRAVERSO 30x500 PET,JUGO DE LIMON,67040,210,45.56,32.65,246.08,80.8,24,3
141010255,SALSA SOYA TRAVERSO 24x250 PET,SOYA,64993,210,31.46,10.76,97.78,139.8,24,3
270010555,MAYONESA TRAVERSO 12x700 DOYPACK,MAYONESA,64936,185,35.79,21.82,90.98,59.2,24,3
360010255,SALSA AMERICANA TRAVERSO 24x200 BOTTOMBAG,ENCURTIDOS,64936,210,32.5,13.68,88.06,104.6,24,3
115014340,ACETO BALSAMICO IMPERATORE 6x500 VIDRIO,VINAGRES,64342,205,38.79,20.93,1298.44,115.6,24,3
210010265,AJI CREMA TRAVERSO 24x350 PET,SALSAS,63227,210,48.65,3.71,114.87,105.6,24,3
151010330,ESENCIA VAINILLA TRAVERSO 6x250 PET,ESENCIAS,62305,210,26.96,15.22,89.58,87.7,24,3
270010550,MAYONESA TRAVERSO 10x900 DOYPACK,MAYONESA,61954,185,35.99,25.55,43.99,63.4,24,3
250010110,KETCHUP VINTAGE TRAVERSO 10x450 PET,SALSAS,61252,210,31.84,8.0,72.31,74.3,24,3
113010210,VINAGRE MANZANA TRAVERSO 20x1000 PET,VINAGRES,59648,210,18.44,12.04,88.01,39.3,24,3
141010210,SALSA SOYA TRAVERSO 20x1000 PET,SOYA,58659,210,28.17,26.04,64.66,89.2,24,3
113010175,VINAGRE MANZANA TRAVERSO 12x500 PET,VINAGRES,58124,209,37.34,22.43,51.47,128.9,24,3
118017340,VINAGRE MANZANA ORGANICO VITTA 6x500 VIDRIO,VINAGRES,57799,205,26.63,19.57,550.75,76.2,24,3
111010115,VINAGRE BLANCO TRAVERSO 12x1000 PET,VINAGRES,55480,210,47.19,29.27,117.64,99.4,24,3
270010485,MAYONESA CASERA VINTAGE TRAVERSO 10x425 PET,MAYONESA,55229,208,44.14,22.52,52.52,97.0,24,3
350010235,PICKLES TRAVERSO 24x200 BOTTOMBAG,ENCURTIDOS,50314,209,18.3,6.79,40.1,40.7,24,3
410010585,FIDEOS INST. SACHET SABOR CARNE24x85 SACHET,SOPAS,50261,121,58.99,13.3,84.23,303.9,24,3
121010255,JUGO LIMON TRAVERSO 24x250 PET,JUGO DE LIMON,49838,210,73.14,70.12,216.5,80.5,24,3
141010175,SALSA SOYA TRAVERSO 12x500 VIDRIO,SOYA,49573,208,60.41,45.03,60.03,27.1,24,3
360010325,SALSA AMERICANA TRAVERSO 6x1000 BOLSA,ENCURTIDOS,49097,210,37.88,22.97,1096.99,98.3,24,3
430010585,FIDEOS INST. SACHET SABOR POLLO 24x85 SACHET,SOPAS,48683,117,55.24,36.58,152.51,269.3,24,3
141010176,SALSA SOYA TRAVERSO 12x500 PET,SOYA,47340,210,38.07,22.01,135.78,137.1,24,3
123010160,JUGO LIMON 60% TRAVERSO 12x320 PET,JUGO DE LIMON,45679,207,47.56,35.44,55.82,79.0,24,3
141010320,SALSA SOYA TRAVERSO 4x5000 PET,SOYA,45036,210,43.59,33.48,278.29,109.6,24,3
280010256,BI PACK COMPLEPACK TRAVERSO 12x2x240 PACK,SALSAS,44569,210,41.81,10.92,941.38,70.5,24,3
141010160,SALSA SOYA TRAVERSO 12x320 PET,SOYA,44461,210,178.0,141.36,359.56,96.6,24,3
341010235,PEPINILLO TRAVERSO 24x200 BOTTOMBAG,ENCURTIDOS,43321,210,39.06,36.02,43.43,81.9,24,3
220010265,AJI PEBRE TRAVERSO 24x350 PET,SALSAS,42967,210,71.32,59.9,199.66,85.6,24,3
262010110,MOSTAZA FUERTE VINTAGE TRAVERSO 10x450 PET,SALSAS,41872,210,44.38,15.69,251.83,88.2,24,3
