sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
111033290,VINAGRE BLANCO CUISINE &CO 30x500 PET,VINAGRES,38730,194,40.84,25.28,83.8,92.3,24,3
210010110,AJI CREMA VINTAGE TRAVERSO 10x450 PET,SALSAS,37637,210,39.09,25.23,590.5,59.4,24,3
260010100,MOSTAZA TRAVERSO 108x100 SACHET,SALSAS,36370,210,60.36,37.83,157.94,79.9,24,3
250010100,KETCHUP TRAVERSO 108x100 SACHET,SALSAS,35566,210,38.15,36.51,242.47,45.7,24,3
121012290,JUGO LIMON FRESCOLIM 30x500 PET,JUGO DE LIMON,34457,210,65.25,30.32,250.62,119.8,24,3
130410320,JUGO FRUTILLA TRAVERSO 4x5000 PET,JUGOS CONCENTRADOS,34207,210,51.85,9.56,498.13,51.6,24,3
123010260,JUGO LIMON 60% TRAVERSO 24x320 PET,JUGO DE LIMON,33305,210,79.45,71.45,626.08,94.1,24,3
113010320,VINAGRE MANZANA TRAVERSO 4x5000 PET,VINAGRES,32515,210,72.82,44.11,263.9,93.7,24,3
130410195,JUGO FRUTILLA TRAVERSO 12x900 PET,JUGOS CONCENTRADOS,32488,210,148.65,137.16,498.18,87.7,24,3
113010255,VINAGRE MANZANA TRAVERSO 24x250 PET,VINAGRES,32291,209,46.13,16.22,105.48,55.2,24,3
115014175,ACETO BALSAMICO IMPERATORE 12x500 VIDRIO,VINAGRES,32055,202,36.26,25.97,862.79,60.2,24,3
130810195,JUGO NARANJA TRAVERSO 12x900 PET,JUGOS CONCENTRADOS,31911,209,125.16,100.8,213.21,90.3,24,3
130910320,JUGO PIÑA TRAVERSO 4x5000 PET,JUGOS CONCENTRADOS,31729,210,46.71,24.26,309.8,44.8,24,3
111010255,VINAGRE BLANCO TRAVERSO 24x250 PET,VINAGRES,31450,209,41.96,37.87,52.91,53.1,24,3
113033290,VINAGRE MANZANA CUISINE &CO 30x500 PET,VINAGRES,31068,190,49.47,31.2,45.2,78.3,24,3
250033115,KETCHUP CUISINE &CO 12x1000 DOYPACK,SALSAS,29181,168,66.48,62.69,58.34,66.1,24,3
260010240,MOSTAZA TRAVERSO 24x240 PET,SALSAS,28993,210,37.15,31.82,106.51,51.2,24,3
114010600,VINAGRE INCOLORO TRAVERSO 4x3000 PET,VINAGRES,28988,84,79.1,77.31,80.51,508.0,24,3
121033290,JUGO LIMON CUISINE &CO 30x500 PET,JUGO DE LIMON,28625,189,68.11,63.08,121.79,98.9,24,3
221010110,AJI PEBRE VINTAGE TRAVERSO 10x450 PET,SALSAS,28480,210,32.66,17.01,43.3,33.1,24,3
121013320,JUGO LIMON HIGUERAS 4x5000 PET,JUGO DE LIMON,28346,209,39.29,23.79,111.5,88.8,24,3
440010585,FIDEOS INST. SACHET SABOR VERDURAS 24X85 SACH,SOPAS,28302,123,46.21,23.3,220.34,109.4,24,3
115014150,ACETO BALSAMICO REAL IMPERATORE 12x250 VIDRIO,VINAGRES,28183,209,67.81,41.96,1029.43,77.7,24,3
260010255,MOSTAZA TRAVERSO 24x250 DOYPACK,SALSAS,27746,210,55.17,50.19,166.51,56.6,24,3
113110175,VINAGRE DE MANZANA SIN FILTRAR TRAVERSO 12x50,VINAGRES,27452,165,55.97,54.45,140.4,97.3,24,3
250033175,KETCHUP CUISINE &CO 12x500 DOYPACK,SALSAS,26753,151,75.08,66.49,71.47,75.1,24,3
121012320,JUGO LIMON FRESCOLIM 4x5000 PET,JUGO DE LIMON,26558,208,80.89,80.89,282.49,55.2,24,3
210010250,AJI CREMA TRAVERSO 24x240 PET,SALSAS,26135,208,46.8,37.41,287.58,56.3,24,3
121010300,JUGO LIMON TRAVERSO 48x250 PET,JUGO DE LIMON,25783,209,102.79,100.89,324.06,45.5,24,3
130810320,JUGO NARANJA TRAVERSO 4x5000 PET,JUGOS CONCENTRADOS,25599,210,36.11,14.16,130.93,35.4,24,3
